"Scenario","Iter","Parameter","Value"
"WorkFlow",55,"K21",2.08168
"WorkFlow",56,"-2LL",6502.77654
"WorkFlow",56,"CMultStdev",0.536254
"WorkFlow",56,"tvVmax",4340.52
"WorkFlow",56,"tvKm",2177.57
"WorkFlow",56,"tvV",58.4011
"WorkFlow",56,"tvKa",0.717796
"WorkFlow",56,"K12",2.2557
"WorkFlow",56,"K21",2.09037
"WorkFlow",57,"-2LL",6502.7406
"WorkFlow",57,"CMultStdev",0.532629
"WorkFlow",57,"tvVmax",4270.06
"WorkFlow",57,"tvKm",2131.89
"WorkFlow",57,"tvV",58.4019
"WorkFlow",57,"tvKa",0.719171
"WorkFlow",57,"K12",2.27732
"WorkFlow",57,"K21",2.09568
"WorkFlow",58,"-2LL",6502.65986
"WorkFlow",58,"CMultStdev",0.530748
"WorkFlow",58,"tvVmax",4312.48
"WorkFlow",58,"tvKm",2157.71
"WorkFlow",58,"tvV",58.4379
"WorkFlow",58,"tvKa",0.718554
"WorkFlow",58,"K12",2.27311
"WorkFlow",58,"K21",2.0966
"WorkFlow",59,"-2LL",6502.65128
"WorkFlow",59,"CMultStdev",0.53002
"WorkFlow",59,"tvVmax",4311.61
"WorkFlow",59,"tvKm",2156.33
"WorkFlow",59,"tvV",58.4386
"WorkFlow",59,"tvKa",0.719028
"WorkFlow",59,"K12",2.27375
"WorkFlow",59,"K21",2.0944
"WorkFlow",60,"-2LL",6502.62594
"WorkFlow",60,"CMultStdev",0.527213
"WorkFlow",60,"tvVmax",4296.76
"WorkFlow",60,"tvKm",2144.75
"WorkFlow",60,"tvV",58.4088
"WorkFlow",60,"tvKa",0.722382
"WorkFlow",60,"K12",2.28144
"WorkFlow",60,"K21",2.08869
"WorkFlow",61,"-2LL",6502.55822
"WorkFlow",61,"CMultStdev",0.526591
"WorkFlow",61,"tvVmax",4285.16
"WorkFlow",61,"tvKm",2136.46
"WorkFlow",61,"tvV",58.4208
"WorkFlow",61,"tvKa",0.723024
"WorkFlow",61,"K12",2.27773
"WorkFlow",61,"K21",2.08094
"WorkFlow",62,"-2LL",6501.8905
"WorkFlow",62,"CMultStdev",0.522471
"WorkFlow",62,"tvVmax",4172.98
"WorkFlow",62,"tvKm",2060.39
"WorkFlow",62,"tvV",58.604
"WorkFlow",62,"tvKa",0.730405
"WorkFlow",62,"K12",2.2327
"WorkFlow",62,"K21",2.01483
"WorkFlow",63,"-2LL",6501.23514
"WorkFlow",63,"CMultStdev",0.524112
"WorkFlow",63,"tvVmax",4099.11
"WorkFlow",63,"tvKm",2010.84
"WorkFlow",63,"tvV",59.0333
"WorkFlow",63,"tvKa",0.72893
"WorkFlow",63,"K12",2.1689
"WorkFlow",63,"K21",1.96764
"WorkFlow",64,"-2LL",6500.56522
"WorkFlow",64,"CMultStdev",0.52908
"WorkFlow",64,"tvVmax",4036.34
"WorkFlow",64,"tvKm",1970.22
"WorkFlow",64,"tvV",59.7944
"WorkFlow",64,"tvKa",0.723229
"WorkFlow",64,"K12",2.08693
"WorkFlow",64,"K21",1.93959
"WorkFlow",65,"-2LL",6500.4319
"WorkFlow",65,"CMultStdev",0.531431
"WorkFlow",65,"tvVmax",4045.22
"WorkFlow",65,"tvKm",1975.12
"WorkFlow",65,"tvV",60.1042
"WorkFlow",65,"tvKa",0.722102
"WorkFlow",65,"K12",2.0633
"WorkFlow",65,"K21",1.94107
"WorkFlow",66,"-2LL",6500.37446
"WorkFlow",66,"CMultStdev",0.534361
"WorkFlow",66,"tvVmax",4109.34
"WorkFlow",66,"tvKm",2014.23
"WorkFlow",66,"tvV",60.2627
"WorkFlow",66,"tvKa",0.719951
"WorkFlow",66,"K12",2.06519
"WorkFlow",66,"K21",1.96197
"WorkFlow",67,"-2LL",6500.37114
"WorkFlow",67,"CMultStdev",0.534369
"WorkFlow",67,"tvVmax",4122.39
"WorkFlow",67,"tvKm",2022.29
"WorkFlow",67,"tvV",60.2419
"WorkFlow",67,"tvKa",0.72001
"WorkFlow",67,"K12",2.07222
"WorkFlow",67,"K21",1.9683
"WorkFlow",68,"-2LL",6500.37102
"WorkFlow",68,"CMultStdev",0.534359
"WorkFlow",68,"tvVmax",4124.06
"WorkFlow",68,"tvKm",2023.32
"WorkFlow",68,"tvV",60.2397
"WorkFlow",68,"tvKa",0.720004
"WorkFlow",68,"K12",2.07255
"WorkFlow",68,"K21",1.96865
"WorkFlow",69,"-2LL",6500.37004
"WorkFlow",69,"CMultStdev",0.533964
"WorkFlow",69,"tvVmax",4142.79
"WorkFlow",69,"tvKm",2034.99
"WorkFlow",69,"tvV",60.1902
"WorkFlow",69,"tvKa",0.719935
"WorkFlow",69,"K12",2.07644
"WorkFlow",69,"K21",1.9707
"WorkFlow",70,"-2LL",6500.36982
"WorkFlow",70,"CMultStdev",0.533901
"WorkFlow",70,"tvVmax",4146.39
"WorkFlow",70,"tvKm",2037.26
"WorkFlow",70,"tvV",60.1822
"WorkFlow",70,"tvKa",0.719901
"WorkFlow",70,"K12",2.07711
"WorkFlow",70,"K21",1.97117
"WorkFlow",71,"-2LL",6500.36982
"WorkFlow",71,"CMultStdev",0.533901
"WorkFlow",71,"tvVmax",4146.39
"WorkFlow",71,"tvKm",2037.26
"WorkFlow",71,"tvV",60.1822
"WorkFlow",71,"tvKa",0.719901
"WorkFlow",71,"K12",2.07711
"WorkFlow",71,"K21",1.97117
"WorkFlow",72,"-2LL",6480.61012
"WorkFlow",72,"CMultStdev",0.529396
"WorkFlow",72,"tvVmax",4389.47
"WorkFlow",72,"tvKm",1935.82
"WorkFlow",72,"tvV",58.0607
"WorkFlow",72,"tvKa",0.722329
"WorkFlow",72,"K12",1.93041
"WorkFlow",72,"K21",2.11067
"WorkFlow",73,"-2LL",6479.65538
"WorkFlow",73,"CMultStdev",0.529312
"WorkFlow",73,"tvVmax",4446.19
"WorkFlow",73,"tvKm",1913.75
"WorkFlow",73,"tvV",57.6178
"WorkFlow",73,"tvKa",0.72555
"WorkFlow",73,"K12",1.90322
"WorkFlow",73,"K21",2.1412
"WorkFlow",74,"-2LL",6479.4532
"WorkFlow",74,"CMultStdev",0.53273
"WorkFlow",74,"tvVmax",4456.73
"WorkFlow",74,"tvKm",1869.9
"WorkFlow",74,"tvV",58.0244
"WorkFlow",74,"tvKa",0.740233
"WorkFlow",74,"K12",1.94302
"WorkFlow",74,"K21",2.06971
"WorkFlow",75,"-2LL",6478.29382
"WorkFlow",75,"CMultStdev",0.562344
"WorkFlow",75,"tvVmax",4268.72
"WorkFlow",75,"tvKm",1734.97
"WorkFlow",75,"tvV",57.0191
"WorkFlow",75,"tvKa",0.805665
"WorkFlow",75,"K12",1.92977
"WorkFlow",75,"K21",1.90373
"WorkFlow",76,"-2LL",6473.07098
"WorkFlow",76,"CMultStdev",0.564023
"WorkFlow",76,"tvVmax",4140.2
"WorkFlow",76,"tvKm",1648.13
"WorkFlow",76,"tvV",56.9587
"WorkFlow",76,"tvKa",0.77938
"WorkFlow",76,"K12",1.9099
"WorkFlow",76,"K21",1.8703
"WorkFlow",77,"-2LL",6457.42132
"WorkFlow",77,"CMultStdev",0.579656
"WorkFlow",77,"tvVmax",4143.16
"WorkFlow",77,"tvKm",1617.74
"WorkFlow",77,"tvV",56.6786
"WorkFlow",77,"tvKa",0.723733
"WorkFlow",77,"K12",1.85721
"WorkFlow",77,"K21",1.77451
"WorkFlow",78,"-2LL",6455.00914
"WorkFlow",78,"CMultStdev",0.566181
"WorkFlow",78,"tvVmax",4143.75
"WorkFlow",78,"tvKm",1616.04
"WorkFlow",78,"tvV",54.8517
"WorkFlow",78,"tvKa",0.703406
"WorkFlow",78,"K12",1.81072
"WorkFlow",78,"K21",1.63145
"WorkFlow",79,"-2LL",6454.01066
"WorkFlow",79,"CMultStdev",0.557713
"WorkFlow",79,"tvVmax",4144.17
"WorkFlow",79,"tvKm",1613.92
"WorkFlow",79,"tvV",53.5907
"WorkFlow",79,"tvKa",0.688482
"WorkFlow",79,"K12",1.77916
"WorkFlow",79,"K21",1.53293
"WorkFlow",80,"-2LL",6453.26588
"WorkFlow",80,"CMultStdev",0.560796
"WorkFlow",80,"tvVmax",4144.38
"WorkFlow",80,"tvKm",1612.96
"WorkFlow",80,"tvV",50.9508
"WorkFlow",80,"tvKa",0.670597
"WorkFlow",80,"K12",2.01291
"WorkFlow",80,"K21",1.57407
"WorkFlow",81,"-2LL",6452.4135
"WorkFlow",81,"CMultStdev",0.550326
"WorkFlow",81,"tvVmax",4146.41
"WorkFlow",81,"tvKm",1618.9
"WorkFlow",81,"tvV",51.5688
"WorkFlow",81,"tvKa",0.687054
"WorkFlow",81,"K12",1.92041
"WorkFlow",81,"K21",1.53977
"WorkFlow",82,"-2LL",6451.4971
"WorkFlow",82,"CMultStdev",0.529604
"WorkFlow",82,"tvVmax",4148.52
"WorkFlow",82,"tvKm",1642.05
"WorkFlow",82,"tvV",49.653
"WorkFlow",82,"tvKa",0.705058
"WorkFlow",82,"K12",2.01624
"WorkFlow",82,"K21",1.53691
"WorkFlow",83,"-2LL",6450.2741
"WorkFlow",83,"CMultStdev",0.497364
"WorkFlow",83,"tvVmax",4152.77
"WorkFlow",83,"tvKm",1601.27
"WorkFlow",83,"tvV",46.4305
"WorkFlow",83,"tvKa",0.618805
"WorkFlow",83,"K12",2.01309
"WorkFlow",83,"K21",1.30694
"WorkFlow",84,"-2LL",6449.06848
